"Released","Genre","Casts","Duration","Country","Production","Title"
"2025-09-05","Comedy, Thriller, History","Hong Kyung, Cha Soon-bae, Jeon Do-yeon, Nairu Yamamoto, Sol Kyung-gu","136 min","South Korea","Star Platinum","Good News"
"2025-09-19","Drama","Humberto Tortonese, Roberto Suárez, Diego De Paula, Daniel Elías, Alan Sabbagh","108 min","Argentina","La Unión de los Ríos","27 Nights"
"2025-09-11","Documentary","N/A","104 min","Ukraine, United States of America","GraciaFilms","Sex in the Soviet Union"
"2024-11-12","Documentary","N/A","47 min","Qatar, United Kingdom","Al Jazeera English","Rooted in the West Bank"
"2025-06-06","N/A","N/A","39 min","United States of America","N/A","Call Me Waya"
"2025-08-01","Family, Fantasy","Josh Futcher, Ella Kaminski, Allee Sutton Hethcoat, Brycen Patterson, David Dupre","76 min","United States of America","323 Films","The Wildman of Shaggy Creek"
"2024-02-17","Documentary","Charlotte Pritt,","78 min","United States of America","N/A","Running for the Mountains"
"2025-09-22","Drama","Seemanta Choudhury, Suruj Kalita, Raju Roy, Roy Manik, Manoj Gogoi","62 min","India","Satyajit Ray Film and Television Institute","Kok Kok Kokoook"
"2025-10-15","Crime, Drama, Thriller","Deannie Yip, Colin Farrell, Fala Chen, Jessica Lai, Alan K. Chang","101 min","Germany, United Kingdom","Good Chaos, Stigma Films, Nine Hours","Ballad of a Small Player"
"2025-09-05","Action, Thriller","Sonam Bajwa, Mahesh Thakur, Saurabh Sachdeva, Rajendranath Zutshi, Sunny Hinduja","156 min","India","Nadiadwala Grandson Entertainment","Baaghi 4"
"2025-05-23","Comedy","Kyra Sedgwick, David Paymer, Josh Mostel, Jon Bass, Theo Taplitz","84 min","United States of America","Carnegie Hill Entertainment","Bad Shabbos"
"2025-05-11","Animation, Family","Sade Smith, Oliver Milchard, Elliott Garcia, Shaun Jemmett,","57 min","United States of America","N/A","Thomas and Friends: Sodor Sings Together"
"2025-10-16","Drama, Romance, Fantasy","Beauty Gonzalez, Carlo Aquino, Erin Rose Espiritu, Vance Larena, Bing Pimentel","116 min","Philippines","Black Cap Pictures","The Time That Remains"
"2014-03-26","Documentary","John Waters, Divine, Bruce Vilanch, Mink Stole, Helen Hanft","90 min","United States of America","Automat Pictures, Making it Big","I Am Divine"
"1973-04-19","Drama, War, History","Gabriele Ferzetti, Alec Guinness, Doris Kunstmann, Adolfo Celi, Phyllida Law","106 min","Italy, United Kingdom","West Film, Wolfgang Reinhardt Productions, World Film Services","Hitler: The Last Ten Days"
"2022-09-04","Documentary, History","Edward Norton, John Turturro,","14 min","United States of America","110th Street Films","High Noon on the Waterfront"
"2012-06-05","Drama, Action, Adventure","Drew Cash, John Shockley, Jeff Fahey, Priscilla Barnes, Dylan Vox","81 min","United States of America","N/A","Hatfields and McCoys: Bad Blood"
"2014-11-14","Documentary, Crime","N/A","98 min","United States of America","N/A","Happy Valley"
"2023-11-17","Horror","Haulston Mann, Michael Lake, Susan Ly, Marcus Watson, Tricia Buerke","119 min","N/A","Original Cinematic","Group"
"1973-01-24","Drama, TV Movie","Wendell Burton, Robert Carradine, Charles Martin Smith, William Shatner, Al Checco","74 min","United States of America","Metromedia Producers Corporation, ABC, ABC","Go Ask Alice"
"2021-04-30","Drama","Lena Endre, Alexander Karim,","88 min","Sweden","Bad Flamingo AB, Viaplay Group, Nordic Entertainment Group","Glacier"
"2023-01-01","N/A","N/A","76 min","N/A","N/A","Girls' Fright Out"
"2000-07-07","Drama, Comedy, Romance","Melanie Griffith, Patrick Swayze, Lee Garlington, Michael J. Pollard, Richard Schiff","95 min","Germany, United States of America","Cinelulu Internationale Filmproduktiongesellshaft mbH and Co. 1 Beteilegung KG, Cinerenta, Green Moon Productions, Loving Lulu Productions Inc., Cinerenta Medienbeteiligungs KG","Forever Lulu"
"2012-12-02","Comedy, Romance, TV Movie","Norman Misura, Mark Pawson, Veena Sood, Mira Sorvino, Carolyn Adair","89 min","Canada","Foxfield Entertainment, Pitchblack Pictures, Lighthouse Pictures, Pitchblack Pictures Inc.","Finding Mrs. Claus"
"2024-08-18","Drama, Mystery","David Knell, Michael Esper, Dana Millican, Maddison Brown, Kaitlin Doubleday","92 min","United States of America","Detention Films, Hungry Bull Productions, Moo Studios, Slated","To Kill a Wolf"
"2025-08-24","Horror","Lindsay LaVanchy, Isabella Gomez, Jack Sochet, Gabriella Rivera, Maxwell Hamilton","85 min","United States of America","Shatterproof Films","The Mannequin"
"2025-10-07","Horror, Thriller","Ekaterina Solomatina, Vyacheslav Chepurchenko, Maxim Khanzhov, Wolfgang Cerny, Victoria Skitskaya","100 min","Slovenia, Russia","Radragon","The Healing"
"2025-10-17","Horror, Fantasy","Kevin McNulty, Seth Isaac Johnson, Matty Finochio, Beau Reid, Bob Frazer","91 min","Canada","Front Street Pictures, Haunting Hour Road Productions","R.L. Stine's Pumpkinhead"
"2025-08-01","Crime, Thriller","Shilpa Manjunath, Thambi Ramaiah, Magesh Das, Vetri, Redin Kingsley","124 min","India","N/A","Muthal Pakkam"
"2025-10-16","Crime, Thriller","Joel Kinnaman, Cara Jade Myers, DeVaughn Nixon, Martin Sensmeier, Graham Greene","87 min","United States of America","Arclight Films, Top Film","Ice Fall"
"2025-10-14","Comedy, Drama, Fantasy","Aziz Ansari, Keke Palmer, Sherry Cola, Sandra Oh, Keanu Reeves","98 min","United States of America","Lionsgate, Media Capital Technologies","Good Fortune"
"2025-08-29","Romance","Aditi Prabhudeva, V. Ravichandran, Vinay Rajkumar, Kaddipudi Chandru,","115 min","India","N/A","Andondittu Kaala"
"2025-08-28","Comedy","Holden Anderson, Kathleen Rose Perkins, Caroline Anna-Kaye Green, Joellie Heneise, Tyshon Lawrence","95 min","United States of America","Patriot Pictures, Ethos Pictures","Almost Popular"
"2025-09-15","Horror, Thriller","Michael Sheffield, Dingani Beza, Kaitlyn Trentham, Charles Mckee, Jessica Ambuehl","87 min","United States of America","Traverse Terror, Epic Pictures","The Jester 2"
"2024-08-30","Animation, Drama, Music","Minako Kotobuki, Sayu Suzukawa, Keiko Toda, Yui Aragaki, Taisei Kido","101 min","Japan","Story, Science SARU, TOHO, Lawson, jeki, Toho Company, Ltd., East Japan Marketing & Communications Inc., STORY inc.","The Colors Within"
"2024-08-26","Horror, Comedy","Lorna Wilson, Marty Adams, Donald Tripe, Julian Richings, Brynn Godenir","76 min","Canada","Happy Cat Productions","Scared Shitless"
"2024-12-14","Drama, Romance, Music, Fantasy","Ekin Cheng, Bonnie Wong, Henick Chou, Chu Pak-Hong, Cecilia Choi","110 min","Hong Kong","Mei Ah Entertainment","Last Song for You"
"2025-10-16","Documentary, Comedy","John Mulaney, Jim Downey, Will Forte, Al Franken, Laraine Newman","66 min","United States of America","Broadway Video, Universal Television Alternative Studio","Downey Wrote That"
"2025-09-10","Action, Thriller","Arthur Sylense, Hannu Oikarinen, Celin El Azizi, Joey Palmroos, Darren McStay","84 min","Finland","Arctic Renegades","Delivery Run"
"2024-10-08","Documentary","Danny Morrison, Edward Berry, John Gummer, Patrick Magee, Jo Berry","76 min","United States of America","N/A","Bombing Brighton: The Plot to Kill Thatcher"
"2025-04-10","Drama","Demián Bichir, Salma Hayek, Patricio José, Juan Minujín, Alfredo Herrera","91 min","Italy, United States of America","Fremantle, Jolie Productions, The Apartment Pictures, De Maio Entertainment, The Apartment","Without Blood"
"2008-01-01","Horror","Ryan Caldwell, Matthew Stiller, Kiersten Hall, Aleece Jones, William Knight","85 min","United States of America","N/A","Fear House"
"2013-10-18","Thriller","N/A","82 min","United States of America","Khaos Digital, Whitewater Films","Drones"
"2013-07-19","Documentary","Joanna Cassidy, Guillermo del Toro, George Lucas, Samuel Witwer, Steve Guttenberg","97 min","United States of America","Torino Pictures, Sharkey Productions","Drew: The Man Behind the Poster"
"2025-09-12","Drama","N/A","73 min","United States of America","N/A","Reginald Carter 2025"
"2025-09-24","Crime, Comedy, Thriller","Choi So-yul, Kim Hyeong-mook, Woo Jung-won, Yum Hye-ran, Park Hee-soon","139 min","South Korea, France","CJ ENM Studios, Moho Film, KG Productions","No Other Choice"
"2023-12-01","Drama, Romance","Xica Brewer, Candice Moffitt, Tresure Price, Amber Wilson, Benzino","57 min","United States of America","N/A","I Want Her"
"2023-01-25","Drama","Jaime Pina, Yasser Michelén, David Maler, Nashla Bogaert,","92 min","Dominican Republic","N/A","Croma Kid"
"2025-08-19","Horror","Michael Ochotorena, Derek Solorsano, Javier Avalos, Frank Prell, Harley Smith","87 min","United States of America","BlueSideUp Films, FunHouse Features, HohloGraphic Productions, HohloGraphic Productions, FunHouse Features","Buried Alive"
"2025-10-17","Drama, Music, History","Ethan Hawke, Andrew Scott, Simon Delaney, Cillian O'Sullivan, Bobby Cannavale","100 min","Ireland, United States of America","Detour Filmproduction, Sony Pictures Classics, Renovo Media Group, Wild Atlantic Pictures, Under the Influence Productions, Cinetic Media, Not to Be Seen Productions, Concord Originals","Blue Moon"
"2025-10-18","Romance, TV Movie","Alex Weed, Michael Buie, Dani Alvarado, Julia Benson, Remy Marthaller","84 min","United States of America","N/A","A Royal Montana Christmas"
"2025-04-30","Horror, Fantasy","Jorge A. Jimenez, Fuljencio Morales, José Antonio Becerril, Antonio Oribio, Anna Díaz","103 min","Mexico, Spain","El Estudio, 4 Ways Entertainment, Pirotecnia Films, Fomento al Cine Mexicano (FOCINE), EFICINE 189, Comisión de Filmaciones del Estado de Guanajuato","A Fishermen's Tale"
"2015-07-09","Drama, Romance","Daniel Brocklebank, Craig Stein, Laura Ainsworth, Jonny Labey, Mya Collins","84 min","United Kingdom","Brown Boy Productions, Sweet As A Productions","Soft Lad"
"2009-07-18","Comedy, Horror","Sasha Grey, Jesse Buck, Michael Berryman, Peter Michael Dillon, Meghanne Kessels","82 min","Canada","Zed Filmworks","Smash Cut"
"2014-04-18","Drama, Comedy","Amaury Nolasco, Christopher Meloni, Xander Berkeley, Ashley Jensen, Ken Davitian","95 min","United States of America","Anchor Bay Films, Asylum Entertainment","Small Time"
"2004-02-14","Comedy, Horror","Forrest J. Ackerman, Warwick Davis, Peter Iasillo Jr., Clayton Martinez, Bill Corso","97 min","United States of America","Center Ring Entertainment","Skinned Deep"
"1998-04-09","Crime, Drama, Mystery","James Morrison, Tom Berenger, Melanie Griffith, Lisa Pelikan, Sandra Guibord","103 min","United States of America","Universal Pictures","Shadow of Doubt"
"2006-09-09","Horror, Science Fiction, Fantasy, Thriller, Mystery","Kate Connor, Lance Henriksen, Michael Worth, Tim Thomerson, Alex Ballar","90 min","United States of America","Curb Entertainment, Grizzly Peak Films, Sci-Fi Channel","Sasquatch Mountain"
"1933-12-15","Western","Art Mix, Hal Price, Lane Chandler, William Dyer, Bob Burns","54 min","United States of America","Lone Star, Monogram Pictures, Lone Star Production","Sagebrush Trail"
"1980-02-29","History, Drama, Thriller, TV Movie","Rynagh O'Grady, Aubrey Morris, Matthew Guinness, David Janssen, Nancy Nevinson","144 min","United Kingdom, United States of America","Argonaut Films, EMI Films, Roger Gimbel Productions","S.O.S. Titanic"
"2019-05-02","Documentary","N/A","88 min","N/A","N/A","Runner"
"1989-11-09","Comedy","Judge Reinhold, Brad Davis, Willy Harlander, Jane Hutchinson, David Denney","94 min","Germany, United States of America","Pelemele Film, ARD","Rosalie Goes Shopping"
"1986-09-06","Action, Comedy","Sally Yeh, Dean Shek, Brigitte Lin, Cheung Kwok-Keung, Kenneth Tsang","104 min","Hong Kong","Film Workshop","Peking Opera Blues"
"1964-03-25","Comedy, Music","Jody McCrea, Frankie Avalon, Chester Yorton, Annette Funicello, Luciana Paluzzi","94 min","United States of America","Alta Vista Productions, American International Pictures, American International Pictures (AIP)","Muscle Beach Party"
"2004-12-12","Family, Action","Richard Gabai, Wolf Larson, Todd Holland, Wayne Dalglish, Nick Benson","82 min","N/A","N/A","Motocross Kids"
"2010-04-24","Horror, Science Fiction, Thriller, TV Movie","Levy Easterly, Sam Medina, T.W. Leshner, Wallace Merck, Douglas M. Griffin","86 min","United States of America","Motion Picture Corporation of America, Upload Films","Mothman"
"1974-08-08","Drama, Action","Cheryl Waters, Alan Vint, James Gammon, Max Baer, Jr., Jesse Vint","89 min","United States of America","Max Baer Productions","Macon County Line"
"1958-05-01","Crime, Action","Richard Devon, Mitzi McCall, Connie Gilchrist, Robert Griffin, Wally Campo","83 min","United States of America","El Monte Productions, American International Pictures, American International Pictures (AIP)","Machine-Gun Kelly"
"2013-03-02","Comedy, Drama","Greg Vrotsos, Mackenzie Astin, Robin Gammell, Lynn Whitfield, Oanh Nguyen","125 min","United States of America","Exit 43 Productions","Lonely Boy"
"1998-11-01","Action, Adventure, TV Movie","Joe Spano, Ariel Chapman, Vinnie Curto, Oliver Tull, Lisa Endicott","90 min","United States of America","Norris Brothers Entertainment, Norris Brothers Entertainment","Logan's War: Bound by Honor"
"1990-04-20","Thriller, Drama, Horror, Romance","Dennis Bowen, Staci Keanan, Elizabeth Gracen, Drew Pillsbury, Edan Gross","95 min","United States of America","Surreal Productions, Gary Sherman Productions, United Artists, Metro-Goldwyn-Mayer","Lisa"
"2014-02-28","Drama, Romance","Michel Noher, Elisa Volpatto, Daniel de Oliveira, Alice Braga,","82 min","Brazil","Turner Network Television","Latitudes"
"2022-11-11","Documentary","N/A","90 min","Mexico","Instituto Mexicano de Cinematografía","Kenya"
"2023-10-29","N/A","N/A","79 min","N/A","N/A","Inundation District"
"2012-06-02","Thriller","Sam Page, Deena Dill, Ethan Embry, Angeline-Rose Troy, Marc McClure","99 min","United States of America","180 Degrees, Braeburn Entertainment, Check Entertainment, FishCorb Films, Scatena & Rosner Films, Check Entertainment","Imaginary Friend"
"2002-10-23","Comedy, Family, TV Movie","Connie Sellecca, Cole Sprouse, JJ Neward, Sonny Carl Davis, Dylan Sprouse","100 min","Germany, United States of America","Regent Entertainment","I Saw Mommy Kissing Santa Claus"
"2007-10-06","Horror, Thriller, Mystery, TV Movie","Leighton Meester, David Patrick Flemming, Jessica Huras, Carlo Marks, Elyse Levesque","90 min","Canada, United States of America","Highwire Pictures, Marvista Entertainment, Nitelite Entertainment","The Haunting of Sorority Row"
"2021-04-24","Thriller, Horror, Crime, Mystery, Fantasy","Gabe Bowling, Adam Blædel Körner, Grant Lancaster, Brian O'Neill, Brad Stuart","120 min","United States of America","Dashford Media","The Blacklight"
"1940-09-30","Horror, Mystery, Science Fiction","Mary Field, I. Stanford Jolley, Jessie Arnold, Boris Karloff, George Cleveland","62 min","United States of America","Monogram Pictures","The Ape"
"2002-01-14","Drama, Horror, Thriller, Mystery","Lori Heuring, Nick Stahl, Eddie Kaye Thomas, Amber Benson, Derek Hamilton","80 min","Romania, United States of America","Imperial Fish Company, Creative Entertainment Group, Silver Bullet Pictures","Taboo"
"2012-06-06","Crime, Drama, Thriller","Chris Haywood, Roy Billing, Emma Booth, Travis McMahon, Chris Asimos","86 min","Australia","N/A","Swerve"
"2011-11-04","Documentary","Stephen Hawking, Jane Goodall, David Suzuki,","86 min","Canada","Big Picture Media Corporation, ONF | NFB, National Film Board of Canada","Surviving Progress"
"1998-12-08","Horror, Fantasy","Ion Haiduc, Gelu Nițu, Denice Duff, Eugenia Pavel, Michael Denish","85 min","United States of America, Romania","Castel Film, Full Moon Pictures","Subspecies 4: Bloodstorm"
"2025-02-06","Drama, Adventure, Action","Bora Karakul, Reha Özcan, Gizem Erdem, Yıldıray Şahinler, Recep Çavdar","108 min","Turkey","Diopter Film, Ubay Film Yapım, Net Sanat","Dayı: Bir Adamın Hikâyesi 2"
"2024-10-30","Horror, Crime, Thriller","Robert LaSardo, Amanda Rabinowitz, Sam Delossantos, Caiden Almeyda, Bob Oliver","86 min","United States of America","Javelina 98 Productions, Ginome Films, Javelina 98 Productions","Hostage"
"2025-10-14","Action, Crime, Drama","Yograj Singh, Vivek Mishra, Gurpreet Singh Mangat, Mandeep Kumar Joshi,","88 min","India","N/A","Rajdhani Punjab"
"2025-05-16","Comedy","Ömer Kurt, Hakan Yılmaz, Deniz Hamzaoğlu, Esra Kızıldoğan, Orhan Aydın","105 min","Turkey","N/A","Sıcak Büfe"
"2025-01-18","Documentary","N/A","78 min","United States of America","N/A","Helen David's 37 Seasons"
"2023-10-27","Documentary","N/A","79 min","Romania, United Kingdom","N/A","A Cautionary Tale"
"2025-10-18","Thriller, TV Movie","Peter Graham-Gaudreau, Jojo Ahenkorah, Claude Duhamel, Lane Edwards, Bianca Lawson","90 min","United States of America","N/A","The Widow's Payback"
"2025-10-19","Romance, Comedy, TV Movie","Amanda Jordan, Benjamin Ayres, Noah de Mel, Meghan Ory, Francesco Filice","84 min","Canada","Hallmark Media, Studio TF1 America, Extraordinarily Unordinary Entertainment, Rogue Circus Films, Crown Media Productions","A Christmas Angel Match"
